InstanceType,vCPUs,MemoryGiB,Storage,BaseClockSpeedGhz,Region
m6gd.xlarge,4,16.0,237,2.5,ap-south-1
r7i.metal-48xl,192,1536.0,N/A,3.2,ap-south-1
r8g.12xlarge,48,384.0,N/A,2.8,ap-south-1
m5d.xlarge,4,16.0,150,3.1,ap-south-1
r6g.8xlarge,32,256.0,N/A,2.5,ap-south-1
c6a.48xlarge,192,384.0,N/A,3.6,ap-south-1
d2.8xlarge,36,244.0,49152,2.4,ap-south-1
c6g.16xlarge,64,128.0,N/A,2.5,ap-south-1
r6g.16xlarge,64,512.0,N/A,2.5,ap-south-1
m6id.xlarge,4,16.0,237,3.5,ap-south-1
inf2.8xlarge,32,128.0,N/A,3.6,ap-south-1
m7gd.large,2,8.0,118,2.6,ap-south-1
m7i.metal-24xl,96,384.0,N/A,3.2,ap-south-1
m5ad.4xlarge,16,64.0,600,2.2,ap-south-1
r5a.2xlarge,8,64.0,N/A,2.5,ap-south-1
m6idn.12xlarge,48,192.0,2850,3.5,ap-south-1
m7i.16xlarge,64,256.0,N/A,3.2,ap-south-1
z1d.2xlarge,8,64.0,300,4.0,ap-south-1
r6a.2xlarge,8,64.0,N/A,3.6,ap-south-1
i2.2xlarge,8,61.0,1600,2.5,ap-south-1
c7gd.medium,1,2.0,59,2.6,ap-south-1
c5d.large,2,4.0,50,3.4,ap-south-1
m7gd.16xlarge,64,256.0,3800,2.6,ap-south-1
m7gd.xlarge,4,16.0,237,2.6,ap-south-1
c6i.8xlarge,32,64.0,N/A,3.5,ap-south-1
c6i.large,2,4.0,N/A,3.5,ap-south-1
r6gd.2xlarge,8,64.0,474,2.5,ap-south-1
r8g.4xlarge,16,128.0,N/A,2.8,ap-south-1
i3en.3xlarge,12,96.0,7500,3.1,ap-south-1
m5a.4xlarge,16,64.0,N/A,2.5,ap-south-1
r8g.16xlarge,64,512.0,N/A,2.8,ap-south-1
r5ad.24xlarge,96,768.0,3600,2.2,ap-south-1
r6g.medium,1,8.0,N/A,2.5,ap-south-1
r3.large,2,15.0,32,2.5,ap-south-1
r6id.xlarge,4,32.0,237,3.5,ap-south-1
i4i.16xlarge,64,512.0,15000,3.5,ap-south-1
c6in.xlarge,4,8.0,N/A,3.5,ap-south-1
is4gen.4xlarge,16,96.0,15000,2.5,ap-south-1
x1e.32xlarge,128,3904.0,3840,2.3,ap-south-1
m5a.2xlarge,8,32.0,N/A,2.5,ap-south-1
x2iedn.xlarge,4,128.0,118,3.5,ap-south-1
t2.2xlarge,8,32.0,N/A,2.3,ap-south-1
r6gd.medium,1,8.0,59,2.5,ap-south-1
m6a.large,2,8.0,N/A,3.6,ap-south-1
m6gd.medium,1,4.0,59,2.5,ap-south-1
x2iedn.2xlarge,8,256.0,237,3.5,ap-south-1
m5d.8xlarge,32,128.0,1200,3.1,ap-south-1
c6a.24xlarge,96,192.0,N/A,3.6,ap-south-1
m6id.12xlarge,48,192.0,2850,3.5,ap-south-1
m6i.large,2,8.0,N/A,3.5,ap-south-1
c6a.16xlarge,64,128.0,N/A,3.6,ap-south-1
r6a.metal,192,1536.0,N/A,3.6,ap-south-1
m7g.large,2,8.0,N/A,2.6,ap-south-1
c7i.8xlarge,32,64.0,N/A,3.2,ap-south-1
m6gd.12xlarge,48,192.0,2850,2.5,ap-south-1
inf2.48xlarge,192,768.0,N/A,3.6,ap-south-1
c7i.2xlarge,8,16.0,N/A,3.2,ap-south-1
m6idn.large,2,8.0,118,3.5,ap-south-1
r6gd.xlarge,4,32.0,237,2.5,ap-south-1
c6gn.16xlarge,64,128.0,N/A,2.5,ap-south-1
m7i.8xlarge,32,128.0,N/A,3.2,ap-south-1
c7g.8xlarge,32,64.0,N/A,2.6,ap-south-1
x1e.8xlarge,32,976.0,960,2.3,ap-south-1
m5ad.12xlarge,48,192.0,1800,2.2,ap-south-1
r6a.xlarge,4,32.0,N/A,3.6,ap-south-1
m7g.4xlarge,16,64.0,N/A,2.6,ap-south-1
c6in.24xlarge,96,192.0,N/A,3.5,ap-south-1
r6id.16xlarge,64,512.0,3800,3.5,ap-south-1
r5a.xlarge,4,32.0,N/A,2.5,ap-south-1
c4.8xlarge,36,60.0,N/A,2.9,ap-south-1
r6id.2xlarge,8,64.0,474,3.5,ap-south-1
c6gd.metal,64,128.0,3800,2.5,ap-south-1
m4.4xlarge,16,64.0,N/A,2.4,ap-south-1
r5n.12xlarge,48,384.0,N/A,3.1,ap-south-1
g5.2xlarge,8,32.0,450,3.3,ap-south-1
m7i.24xlarge,96,384.0,N/A,3.2,ap-south-1
r8g.metal-24xl,96,768.0,N/A,2.8,ap-south-1
m5a.16xlarge,64,256.0,N/A,2.5,ap-south-1
c6i.2xlarge,8,16.0,N/A,3.5,ap-south-1
i4i.24xlarge,96,768.0,22500,3.5,ap-south-1
i3en.12xlarge,48,384.0,30000,3.1,ap-south-1
r6g.large,2,16.0,N/A,2.5,ap-south-1
r5.24xlarge,96,768.0,N/A,3.1,ap-south-1
x1.16xlarge,64,976.0,1920,2.3,ap-south-1
is4gen.xlarge,4,24.0,3750,2.5,ap-south-1
m6id.2xlarge,8,32.0,474,3.5,ap-south-1
c5n.2xlarge,8,21.0,N/A,3.4,ap-south-1
m6gd.4xlarge,16,64.0,950,2.5,ap-south-1
r4.16xlarge,64,488.0,N/A,2.3,ap-south-1
x1e.2xlarge,8,244.0,240,2.3,ap-south-1
c6i.32xlarge,128,256.0,N/A,3.5,ap-south-1
g5.4xlarge,16,64.0,600,3.3,ap-south-1
m6a.2xlarge,8,32.0,N/A,3.6,ap-south-1
g6.24xlarge,96,384.0,3760,3.4,ap-south-1
c6i.4xlarge,16,32.0,N/A,3.5,ap-south-1
i3en.24xlarge,96,768.0,60000,3.1,ap-south-1
t4g.nano,2,0.5,N/A,2.5,ap-south-1
m5.8xlarge,32,128.0,N/A,3.1,ap-south-1
r6i.xlarge,4,32.0,N/A,3.5,ap-south-1
c4.4xlarge,16,30.0,N/A,2.9,ap-south-1
m5ad.8xlarge,32,128.0,1200,2.5,ap-south-1
m5ad.2xlarge,8,32.0,300,2.2,ap-south-1
m5.12xlarge,48,192.0,N/A,3.1,ap-south-1
m5d.large,2,8.0,75,3.1,ap-south-1
d2.2xlarge,8,61.0,12288,2.4,ap-south-1
r7gd.8xlarge,32,256.0,1900,2.6,ap-south-1
g4dn.metal,96,384.0,1800,2.5,ap-south-1
m7i-flex.2xlarge,8,32.0,N/A,3.2,ap-south-1
m6i.24xlarge,96,384.0,N/A,3.5,ap-south-1
c5d.12xlarge,48,96.0,1800,3.6,ap-south-1
c5n.4xlarge,16,42.0,N/A,3.4,ap-south-1
m7gd.12xlarge,48,192.0,2850,2.6,ap-south-1
c7g.16xlarge,64,128.0,N/A,2.6,ap-south-1
m6in.24xlarge,96,384.0,N/A,3.5,ap-south-1
c6gn.4xlarge,16,32.0,N/A,2.5,ap-south-1
m5.xlarge,4,16.0,N/A,3.1,ap-south-1
r7g.medium,1,8.0,N/A,2.6,ap-south-1
r5a.12xlarge,48,384.0,N/A,2.5,ap-south-1
r5ad.8xlarge,32,256.0,1200,2.5,ap-south-1
m5d.16xlarge,64,256.0,2400,3.1,ap-south-1
x2idn.24xlarge,96,1536.0,2850,3.5,ap-south-1
r6gd.metal,64,512.0,3800,2.5,ap-south-1
a1.large,2,4.0,N/A,2.3,ap-south-1
