Name der Größe,Max. Remotespeicherdatenträger (Menge),Maximale Bandbreite (Mbps),Lokale SSD (Menge),Max. temporäre Speicherdatenträger (Menge),Spitzenfrequenz für alle Kerne (GHz),SSD Premium-Burst1-IOPS ohne Zwischenspeicherung,Nicht zwischengespeicherter Storage Burst1Speed (MBps),Basis-CPU-Leistung der VM (%)1,SSD Premium-Burstdurchsatz (MB/s)1ohne Zwischenspeicherung,SSD Premium-Datenträger-IOPS ohne Zwischenspeicherung,ReadWrite-Geschwindigkeit (MBit/s) des temporären Datenträgers,Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Zwischenspeicherung,Temporärer Speicher (SSD): GiB,Nicht zwischengespeicherte Speicher-IOPS,Größe der lokalen SSD (GB),Maximaler temporärer Speicherdurchsatz: IOPS/MB/s,Maximalernicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Disk Ultra- und SSD Premium v2-IOPS ohne Burstzwischenspeicherung1,Arbeitsspeicher (GiB),Disk Ultra- und SSD Premium v2-Durchsatz ohne Zwischenspeicherung (MB/s),NVMe-Datenträgergröße (TiB),vCPU,Basis-CPU-Frequenz (GHz),Größe des Betriebssystemdatenträgers (GB),Burstdatenträgerdurchsatz ohne Cache: IOPS/MBit/s1,Maximaler Burstdurchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,RDMA-Leistung (GB/s),NVMe-Datenträgergröße (TB),Arbeitsspeicher (GB),Anfängliches Guthaben (Menge),Maximale Netzwerkbandbreite (MB/s),Maximaler Durchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,Nicht zwischengespeicherter Storage Burst1IOPS,Nicht zwischengespeicherte Datenträgergeschwindigkeit (MBit/s),Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Burstzwischenspeicherung1,Max. Netzwerkbandbreite (MBit/s),Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,NVMe-Datenträgerdurchsatz (MB/s),Burstdurchsatz für Cache- und temporären Speicher: IOPS/MBit/s1,Temporäre Datenträgergröße (GiB),Maximaler temporärer Speicherdurchsatz: IOPS/MBit/s*,Maximaler SSD Premium-Durchsatz ohne Cache: IOPS/MBit/s,NVMe-Datenträger-IOPS,Nicht zwischengespeicherte Datenträger-IOPS,Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MB/s,Nicht zwischengespeicherte Speichergeschwindigkeit (MBps),Netzwerkbandbreite,ReadOnly-IOPS des temporären Datenträgers,Nicht zwischengespeicherter Special2Storage IOPS,Temp ReadOnly Storage Speed (MBps),Max. Anzahl Datenträger,vCPUs (Anzahl),Maximaler Burst-Datenträgerdurchsatz ohne Cache: IOPS/MBit/s,Random Read1-Durchsatz (MB/s) des temporären Datenträgers,ReadOnly-Geschwindigkeit (MBit/s) des temporären Datenträgers,Maximaler temporärer Speicherdurchsatz: IOPS/MB/s*,Nicht zwischengespeicherter Special2Storage-Geschwindigkeit (MBps),Temp ReadWrite Storage Speed (MBps),Erwartete ausgehende Netzwerkbandbreite (MBit/s),Arbeitsspeicher der Beschleuniger (GB),Random Read-Durchsatz (MB/s)1des temporären Datenträgers,Größe des temporären Datenträgers (GB),vCPUs (Menge),Max Temp Storage (Menge),Max. Remotespeicher (Menge),Maximaler Durchsatz (Cache und temporärer Speicher): IOPS/MBit/s,Maximaler nicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Max. gebildetes Guthaben (Menge),Nicht zwischengespeicherter Burst1Special2Storage IOPS,Maximalernicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Speicherbandbreite (GB/s),SSD Premium-Burst-IOPS1ohne Zwischenspeicherung,Maximale Anzahl NICs,Maximaler Durchsatz (temporärer Speicher): IOPS/MBit/s,Memory: GiB,Max. NICs (Anzahl),Beschleuniger (Anzahl),Arbeitsspeicherbandbreite (GB/s),Maximaler Durchsatz des temporären Datenträgers in IOPS/MBit/s,Disk Ultra- und SSD Premium v2-IOPS ohne Zwischenspeicherung,Temp ReadWrite Storage IOPS,Random Write1-Durchsatz (MB/s) des temporären Datenträgers,SSD Premium-Burst1-Durchsatz ohne Zwischenspeicherung (MB/s),Max. Bandbreite (MBit/s),Random Write (RW) des temporären Datenträgers1– IOPS,Maximaler Burst nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,RAM (GiB),Temp ReadOnly Storage IOPS,Temporäre Speichergröße (GiB),ReadWrite-IOPS des temporären Datenträgers,EPC-Arbeitsspeicher (GiB),SSD Premium-Burst1Durchsatz ohne Zwischenspeicherung (MB/s),Spitzenfrequenz für Einzelkern (GHz),SSD Premium-Durchsatz (MB/s) ohne Zwischenspeicherung,Kerne (Anzahl),Random Read (RR) des temporären Datenträgers1– IOPS,Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MBit/s,Guthabenbildung/Stunde (Menge),EPC-Speicher (MiB),Nicht zwischengespeicherte Burst1Special Storage-Geschwindigkeit (MBps),SSD Premium-Durchsatz ohne Zwischenspeicherung (MB/s),Maximale Netzwerkbandbreite (MBit/s),Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBps,Max. NVMe-Datenträger (Anzahl)
Standard_B2ts_v2,4,,,,,10.000,,20%,,3750,,,,,,,,,,,,,,,,,,,1,60,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,576,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,24,,,85,6250,,
Standard_B2ls_v2,4,,,,,10.000,,30 %,,3750,,,,,,,,,,,,,,,,,,,4,60,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,864,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,36,,,85,6250,,
Standard_B2s_v2,4,,,,,10.000,,40%,,3750,,,,,,,,,,,,,,,,,,,8,60,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1152,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,48,,,85,6250,,
Standard_B4ls_v2,8,,,,,20.000,,30 %,,6\.400,,,,,,,,,,,,,,,,,,,8,120,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1728,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,72,,,145,6250,,
Standard_B4s_v2,8,,,,,20.000,,40%,,6\.400,,,,,,,,,,,,,,,,,,,16,120,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2304,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,96,,,145,6250,,
Standard_B8ls_v2,16,,,,,20.000,,30 %,,12.800,,,,,,,,,,,,,,,,,,,16,240,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,3456,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,144,,,290,6250,,
Standard_B8s_v2,16,,,,,20.000,,40%,,12.800,,,,,,,,,,,,,,,,,,,32,240,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,4608,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,192,,,290,6250,,
Standard_B16ls_v2,32,,,,,40.000,,30 %,,25.600,,,,,,,,,,,,,,,,,,,32,480,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,6912,,,,,,,,4,,,,,,,960,,,,,,,,,,,,,,,288,,,600,6250,,
Standard_B16s_v2,32,,,,,40.000,,40%,,25.600,,,,,,,,,,,,,,,,,,,64,480,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,9216,,,,,,,,4,,,,,,,960,,,,,,,,,,,,,,,384,,,600,6250,,
Standard_B32ls_v2,32,,,,,80.000,,30 %,,51.200,,,,,,,,,,,,,,,,,,,64,960,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,13824,,,,,,,,4,,,,,,,960,,,,,,,,,,,,,,,576,,,600,6250,,
Standard_B32s_v2,32,,,,,80.000,,40%,,51.200,,,,,,,,,,,,,,,,,,,128,960,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,18432,,,,,,,,4,,,,,,,960,,,,,,,,,,,,,,,768,,,600,6250,,
Standard_B2ats_v2,4,,,,,10.000,,20%,,3750,,,,,,,,,,,,,,,,,,,1,60,6250,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,576,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,24,,,85,,,
Standard_B2als_v2,4,,,,,10.000,,30 %,,3750,,,,,,,,,,,,,,,,,,,4,60,6250,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,864,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,36,,,85,,,
Standard_B2as_v2,4,,,,,10.000,,40%,,3750,,,,,,,,,,,,,,,,,,,8,60,6250,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1152,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,48,,,85,,,
Standard_B4als_v2,8,,,,,20.000,,30 %,,6\.400,,,,,,,,,,,,,,,,,,,8,120,6250,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1728,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,72,,,145,,,
Standard_B4as_v2,8,,,,,20.000,,40%,,6\.400,,,,,,,,,,,,,,,,,,,16,120,6250,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2304,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,96,,,145,,,
Standard_B8als_v2,16,,,,,20.000,,30 %,,12.800,,,,,,,,,,,,,,,,,,,16,240,6250,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,3456,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,144,,,290,,,
Standard_B8as_v2,16,,,,,20.000,,40%,,12.800,,,,,,,,,,,,,,,,,,,32,240,6250,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,4608,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,192,,,290,,,
Standard_B16als_v2,32,,,,,40.000,,30 %,,25.600,,,,,,,,,,,,,,,,,,,32,480,6250,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,6912,,,,,,,,4,,,,,,,960,,,,,,,,,,,,,,,288,,,600,,,
