Name der Größe,vCPUs (Anzahl),Random Write (RW) des temporären Datenträgers1– IOPS,Maximaler temporärer Speicherdurchsatz: IOPS/MB/s*,Disk Ultra- und SSD Premium v2-Durchsatz ohne Zwischenspeicherung (MB/s),Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Maximaler nicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Maximale Netzwerkbandbreite (MBit/s),SSD Premium-Durchsatz (MB/s) ohne Zwischenspeicherung,Arbeitsspeicherbandbreite (GB/s),Max. Bandbreite (MBit/s),Random Read1-Durchsatz (MB/s) des temporären Datenträgers,Temporäre Datenträgergröße (GiB),SSD Premium-Durchsatz ohne Zwischenspeicherung (MB/s),Lokale SSD (Menge),vCPUs (Menge),RDMA-Leistung (GB/s),Spitzenfrequenz für alle Kerne (GHz),Maximaler temporärer Speicherdurchsatz: IOPS/MB/s,Random Read-Durchsatz (MB/s)1des temporären Datenträgers,Burstdatenträgerdurchsatz ohne Cache: IOPS/MBit/s1,Größe des Betriebssystemdatenträgers (GB),Größe des temporären Datenträgers (GB),EPC-Arbeitsspeicher (GiB),Netzwerkbandbreite,Anfängliches Guthaben (Menge),Maximaler temporärer Speicherdurchsatz: IOPS/MBit/s*,SSD Premium-Burst1-IOPS ohne Zwischenspeicherung,Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Burstzwischenspeicherung1,Max. NICs (Anzahl),Maximaler Burst nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Arbeitsspeicher der Beschleuniger (GB),Disk Ultra- und SSD Premium v2-IOPS ohne Zwischenspeicherung,vCPU,Disk Ultra- und SSD Premium v2-IOPS ohne Burstzwischenspeicherung1,SSD Premium-Burstdurchsatz (MB/s)1ohne Zwischenspeicherung,Basis-CPU-Frequenz (GHz),Größe der lokalen SSD (GB),Maximaler Durchsatz (temporärer Speicher): IOPS/MBit/s,Temp ReadOnly Storage IOPS,Maximaler Burstdurchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,Erwartete ausgehende Netzwerkbandbreite (MBit/s),NVMe-Datenträgergröße (TiB),Memory: GiB,NVMe-Datenträger-IOPS,Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Zwischenspeicherung,Maximaler Durchsatz (Cache und temporärer Speicher): IOPS/MBit/s,Kerne (Anzahl),Spitzenfrequenz für Einzelkern (GHz),Max. Remotespeicher (Menge),Max. Netzwerkbandbreite (MBit/s),ReadOnly-IOPS des temporären Datenträgers,Maximaler Durchsatz des temporären Datenträgers in IOPS/MBit/s,Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MB/s,SSD Premium-Burst-IOPS1ohne Zwischenspeicherung,Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBps,Basis-CPU-Leistung der VM (%)1,Nicht zwischengespeicherter Special2Storage IOPS,Arbeitsspeicher (GiB),Nicht zwischengespeicherter Burst1Special2Storage IOPS,EPC-Speicher (MiB),Maximaler Burst-Datenträgerdurchsatz ohne Cache: IOPS/MBit/s,ReadWrite-IOPS des temporären Datenträgers,Beschleuniger (Anzahl),NVMe-Datenträgerdurchsatz (MB/s),Temp ReadOnly Storage Speed (MBps),Speicherbandbreite (GB/s),Maximale Netzwerkbandbreite (MB/s),Nicht zwischengespeicherte Burst1Special Storage-Geschwindigkeit (MBps),Temporäre Speichergröße (GiB),Random Write1-Durchsatz (MB/s) des temporären Datenträgers,Nicht zwischengespeicherter Storage Burst1IOPS,RAM (GiB),Burstdurchsatz für Cache- und temporären Speicher: IOPS/MBit/s1,Nicht zwischengespeicherte Datenträger-IOPS,ReadOnly-Geschwindigkeit (MBit/s) des temporären Datenträgers,Nicht zwischengespeicherte Speichergeschwindigkeit (MBps),Maximalernicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Maximalernicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Nicht zwischengespeicherter Storage Burst1Speed (MBps),Max. gebildetes Guthaben (Menge),Max. NVMe-Datenträger (Anzahl),ReadWrite-Geschwindigkeit (MBit/s) des temporären Datenträgers,Max. Remotespeicherdatenträger (Menge),NVMe-Datenträgergröße (TB),SSD Premium-Datenträger-IOPS ohne Zwischenspeicherung,Max. Anzahl Datenträger,Maximaler Durchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,Maximale Anzahl NICs,SSD Premium-Burst1Durchsatz ohne Zwischenspeicherung (MB/s),Max Temp Storage (Menge),Max. temporäre Speicherdatenträger (Menge),Nicht zwischengespeicherte Speicher-IOPS,Guthabenbildung/Stunde (Menge),Random Read (RR) des temporären Datenträgers1– IOPS,Maximaler SSD Premium-Durchsatz ohne Cache: IOPS/MBit/s,Temp ReadWrite Storage Speed (MBps),Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MBit/s,Temporärer Speicher (SSD): GiB,Maximale Bandbreite (Mbps),Nicht zwischengespeicherter Special2Storage-Geschwindigkeit (MBps),SSD Premium-Burst1-Durchsatz ohne Zwischenspeicherung (MB/s),Nicht zwischengespeicherte Datenträgergeschwindigkeit (MBit/s),Arbeitsspeicher (GB),Temp ReadWrite Storage IOPS
Standard_B2ts_v2,2,,,,,,6250,,,,,,85,,,,,,,,,,,,60,,10.000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,,,,,,,,,,,,,,,,,,,,,,,576,,,4,,3750,,,,,,,,24,,,,,,,,960,,1,
Standard_B2ls_v2,2,,,,,,6250,,,,,,85,,,,,,,,,,,,60,,10.000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,30 %,,,,,,,,,,,,,,,,,,,,,,,,864,,,4,,3750,,,,,,,,36,,,,,,,,960,,4,
Standard_B2s_v2,2,,,,,,6250,,,,,,85,,,,,,,,,,,,60,,10.000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,,,,,,,,,,,,,,,,,,,,,,,,1152,,,4,,3750,,,,,,,,48,,,,,,,,960,,8,
Standard_B4ls_v2,4,,,,,,6250,,,,,,145,,,,,,,,,,,,120,,20.000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,30 %,,,,,,,,,,,,,,,,,,,,,,,,1728,,,8,,6\.400,,,,,,,,72,,,,,,,,960,,8,
Standard_B4s_v2,4,,,,,,6250,,,,,,145,,,,,,,,,,,,120,,20.000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,,,,,,,,,,,,,,,,,,,,,,,,2304,,,8,,6\.400,,,,,,,,96,,,,,,,,960,,16,
Standard_B8ls_v2,8,,,,,,6250,,,,,,290,,,,,,,,,,,,240,,20.000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,30 %,,,,,,,,,,,,,,,,,,,,,,,,3456,,,16,,12.800,,,,,,,,144,,,,,,,,960,,16,
Standard_B8s_v2,8,,,,,,6250,,,,,,290,,,,,,,,,,,,240,,20.000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,,,,,,,,,,,,,,,,,,,,,,,,4608,,,16,,12.800,,,,,,,,192,,,,,,,,960,,32,
Standard_B16ls_v2,16,,,,,,6250,,,,,,600,,,,,,,,,,,,480,,40.000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,30 %,,,,,,,,,,,,,,,,,,,,,,,,6912,,,32,,25.600,,,,,,,,288,,,,,,,,960,,32,
Standard_B16s_v2,16,,,,,,6250,,,,,,600,,,,,,,,,,,,480,,40.000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,,,,,,,,,,,,,,,,,,,,,,,,9216,,,32,,25.600,,,,,,,,384,,,,,,,,960,,64,
Standard_B32ls_v2,32,,,,,,6250,,,,,,600,,,,,,,,,,,,960,,80.000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,30 %,,,,,,,,,,,,,,,,,,,,,,,,13824,,,32,,51.200,,,,,,,,576,,,,,,,,960,,64,
Standard_B32s_v2,32,,,,,,6250,,,,,,600,,,,,,,,,,,,960,,80.000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,,,,,,,,,,,,,,,,,,,,,,,,18432,,,32,,51.200,,,,,,,,768,,,,,,,,960,,128,
Standard_B2ats_v2,2,,,,,,,,,,,,85,,,,,,,,,,,,60,,10.000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,,,,,,,,,,6250,,,,,,,,,,,,,576,,,4,,3750,,,,,,,,24,,,,,,,,960,,1,
Standard_B2als_v2,2,,,,,,,,,,,,85,,,,,,,,,,,,60,,10.000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,30 %,,,,,,,,,,,6250,,,,,,,,,,,,,864,,,4,,3750,,,,,,,,36,,,,,,,,960,,4,
Standard_B2as_v2,2,,,,,,,,,,,,85,,,,,,,,,,,,60,,10.000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,,,,,,,,,,,6250,,,,,,,,,,,,,1152,,,4,,3750,,,,,,,,48,,,,,,,,960,,8,
Standard_B4als_v2,4,,,,,,,,,,,,145,,,,,,,,,,,,120,,20.000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,30 %,,,,,,,,,,,6250,,,,,,,,,,,,,1728,,,8,,6\.400,,,,,,,,72,,,,,,,,960,,8,
Standard_B4as_v2,4,,,,,,,,,,,,145,,,,,,,,,,,,120,,20.000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,,,,,,,,,,,6250,,,,,,,,,,,,,2304,,,8,,6\.400,,,,,,,,96,,,,,,,,960,,16,
Standard_B8als_v2,8,,,,,,,,,,,,290,,,,,,,,,,,,240,,20.000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,30 %,,,,,,,,,,,6250,,,,,,,,,,,,,3456,,,16,,12.800,,,,,,,,144,,,,,,,,960,,16,
Standard_B8as_v2,8,,,,,,,,,,,,290,,,,,,,,,,,,240,,20.000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,,,,,,,,,,,6250,,,,,,,,,,,,,4608,,,16,,12.800,,,,,,,,192,,,,,,,,960,,32,
Standard_B16als_v2,16,,,,,,,,,,,,600,,,,,,,,,,,,480,,40.000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,30 %,,,,,,,,,,,6250,,,,,,,,,,,,,6912,,,32,,25.600,,,,,,,,288,,,,,,,,960,,32,
